County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Cavan,Kingscourt Harps AFC Ltd,Upgrade to our existing artificial pitch,"?200,000",Sports Club,Soccer,Local
Cavan,Laragh Sports Partnership,CCTV System and Access Control System,"?20,862",Local Sports Partnership,Gaelic Games,Local
Cavan,Laragh United GAA,Upgrade our main playing pitch surface.,"?160,000",Sports Club,Gaelic Games,Local
Cavan,Leisure & Sports Complex (Ballinagh) Trust Ltd,"Handball court, hurling & camogie wall.","?59,300",Sports Club,Gaelic Games,Local
Cavan,Loch Gowna G.A.A. Club,"Biodiversity bank, sports terrace & disability acc","?140,836",Sports Club,Gaelic Games,Local
Cavan,Maghera Mac Finns GFC,Artificial playing surface development.,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Mullahoran GFC,"Lighting Update, Pitch upgrade, Mower, Storage etc","?200,000",Sports Club,Gaelic Games,Local
Cavan,Redhills GAC,Redhills GAC Facilities Upgrade,"?199,588",Sports Club,Gaelic Games,Local
Cavan,SHERCOCK ATHLETIC CLUB,Hurdles and Weight Training Equipment,"?17,000",Sports Club,Athletics,Local
Cavan,Shercock Gaelic Football Club,"Disbility access fencing, mower and cctv","?42,000",Sports Club,Gaelic Games,Local
Cavan,SHERCOCK SPORTS AND RECREATIONAL FACILITIES LTD,"Sports Equipment, Mower and Storage Shed","?53,512",Sports Club,Athletics,Non-Local
Cavan,St Aidan's Comprehensive School,"Flooring, Fencing & Equipment","?94,920",School (primary or second level),Gaelic Games,Local
Cavan,St. Felim's Diocesan Trust,Artificial Pitch at St. Marys N.S Arva,"?200,000",Diocesan Trust,Multi-sport,Local
Cavan,Templeport Saint Aidans GAA Club,Disability Access & Facilities Extension,"?199,500",Sports Club,Gaelic Games,Local
Cavan,UCL Harps FC,Phase 3 of building of clubhouse,"?79,000",Sports Club,Soccer,Local
Cavan,Virginia Golf Club,Virginia Golf Club Playing Surface development,"?45,385",Sports Club,Golf,Local
Cavan,Virginia Kayak Club,Boats and Storage,"?10,300",Sports Club,Canoeing / Kayaking,Local
Cavan,Virginia Rugby Club,Securing the future at Virginia RFC,"?188,038",Sports Club,Rugby,Local
Clare,12th Clare Tulla Scouts,Refurbishment of the Old Boys School Den,"?55,000",Scout Group,Hillwalking,Local
Clare,1st & 4th Clare Ennis Scout Group - Scouting Ireland,Upgrading facility to be inclusive of all users,"?5,000",Scout Group,Multi-sport,Local
Clare,Avenue United FC,New security fencing at our home ground facility,"?25,531",Sports Club,Soccer,Local
Clare,Ballina Killaloe Sports & Community Facilities Development Co. Ltd.,Clarisford Park - Fencing & Equipment,"?35,267",Community Group,Multi-sport,Local
Clare,Ballycar National School Board of Management,Ballycar N.S & Newmarket Camogie Club Astro Turf,"?66,500",School (primary or second level),Gaelic Games,Local
